"",,,,Pág: 1
"",,,LOURENCO E SILVA LTDA,
"",,,CNPJ : 07626439000173 IE : 152496416,
"",,,9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"",,,"paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",,,CENTRO,
"",,,01/10/2025 07:40:32,
"",,,Lista de preços,
Tabela Preço : PADRÃO,,,Tipo de Saldo : Geral,
Descrição,,Ncm,No. Fabricante Fabricante Emp UN Estoque,Vlr. Venda
56004 - 11159-C33 - TORNEIRA COZINHA,,84818011,"9937586 MARCHEZAN 1 UN 3,00","80,89"
PAREDE VEDACAO PRESS,,,,
56045 - 1168 F61 PR TORN COZ PAR FITT,,84818019,"LORENZETTI 1 UN -3,00","64,19"
CX/0004,,,,
56044 - 1195 F61 PR TORN LAVAT BA FITT,,84818019,"LORENZETTI 1 UN 1,00","64,19"
CX/0004,,,,
56006 - 1416 1/2-C33 - REGISTRO PRESSAO,,84818095,"MARCHEZAN 1 UN 3,00","51,68"
VEDANTE DN15,,,,
56007 - 1509 3/4-C33 (SACO PLASTICO) -,,84818093,"MARCHEZAN 1 UN -7,00","85,11"
REGISTRO GAVETA LUXO DN20,,,,
56005 - 16046 - MECANISMO-VED.P/ TORN. PIST.,,84818011,"150015 MARCHEZAN 1 UN 0,00","29,26"
AMARELO,,,,
56001 - 16048 - MECANISMO-VED.P/ REG. 1416,,84818011,"150002 MARCHEZAN 1 UN 7,00","28,22"
PIST. AMARELO,,,,
56000 - 16049 - MECANISMO-MVS.P/ REG. 1414,,84818011,"150004 MARCHEZAN 1 UN 11,00","30,39"
PIST. AMARELO,,,,
56306 - 16149 - MECANISMO-MVS.P/ REG.1414,,84818011,"MARCHEZAN 1 UN 16,00","32,60"
PIST. CROMADO,,,,
56150 - 1654 CRUZETA C33 CROM.,,84818019,"11985 AGUIA 1 UN 5,00","18,37"
56003 - 33318 - DUCHA FRIA ARTICULADO 70MM,,84818019,"9941114 MARCHEZAN 1 UN 3,00","88,46"
ATENAS,,,,
55997 - 4790-C80 - TORNEIRA LAVATORIO,,84818011,"9934838 MARCHEZAN 1 UN 5,00","95,47"
BANCADA 90° BICA MO,,,,
55998 - 4795-C80 - TORNEIRA COZINHA,,84818011,"MARCHEZAN 1 UN 1,00","88,50"
BANCADA 90° BICA MOVEL VEDACAO NAO,,,,
COMPRESSIVEL 1/4 VOLTA,,,,
56002 - 6000 - KIT ACESSORIOS P/ BANHEIRO,,76152000,"38412 MARCHEZAN 1 UN 0,00","192,99"
ENCANTO,,,,
55999 - 9499 -C80 - TORN. COZINHA BANCADA,,84818011,"9937490 MARCHEZAN 1 UN 4,00","112,91"
GOURMET DUPLA F,,,,
27049 - ABAFADOR AUDIT PLUG SILIC - KALIPSO,,82055900,"920646 NOVA DISTR 1 UN 81,81","1,83"
53238 - ABAFADOR AUDITIVA - DELTAPLUS,,40159000,"190401 NOVA DISTR 1 UN -6,00","13,93"
55745 - ABRACAD INOX 13-19MM C/BORBOLETA,,73269090,"022273 TAMBASA AT 1 UN 26,00","3,04"
50661 - ABRACAD. ACO LAMP FLU 20/40/110 T8,,73269090,"180130 TAMBASA AT 1 UN 79,00","2,31"
"56588 - ABRACADEIRA (3/4"") (VERDE) 4G/5G",,84139190,"50200 ANAUGER 1 UN 9,00","12,10"
37508 - ABRACADEIRA ARGOLA 83-10 INCA,,73269090,"CENTER MAT 1 UN 9,00","5,93"
55706 - ABRACADEIRA BORBOLETA 19X27,,73269090,"0515.019.027 LOTUS 1 UN -52,00","4,58"
39993 - ABRACADEIRA CABIDEIRA GRANDE,,73269090,"CENTER MAT 1 UN 2,00","0,64"
40002 - ABRACADEIRA CABIDEIRA PEQUENA,,73269090,"CENTER MAT 1 UN 53,00","0,51"
40231 - ABRACADEIRA COLORIDA 10CM,,39269090,"57440/928 TRAMONTINA 1 UN 0,00","0,08"
40240 - ABRACADEIRA COLORIDA 15CM,,39269090,"57440/915 TRAMONTINA 1 UN -16,00","0,28"
"53462 - ABRACADEIRA COLORIDA 9,5CM",,39269090,"57440/909 TRAMONTINA 1 UN 0,00","0,32"
54316 - ABRACADEIRA INOX BORBOLETA 13-23,,73269090,"3710 LOTUS 1 UN -101,00","2,86"
54315 - ABRACADEIRA INOX BORBOLETA 14-27,,73269090,"3711 LOTUS 1 UN 234,00","2,98"
54314 - ABRACADEIRA INOX BORBOLETA 18-32,,73269090,"3712 LOTUS 1 UN 172,00","3,04"
55181 - ABRACADEIRA MANGOTE 1.1/2¿,,73269090,"45403 NEGRAO 1 UN 10,00","20,00"
48X56MM,,,,
55182 - ABRACADEIRA MANGOTE 1.1/4¿,,73269090,"45411 NEGRAO 1 UN 10,00","18,96"
39X47MM,,,,
"56246 - ABRACADEIRA NYLON 12,5X600MM",,39269090,"4202194 FOXLUX 1 CD 0,00","2,07"
"53434 - ABRACADEIRA NYLON 2,5X100MM",,39269090,"422851 FOXLUX 1 UN 0,00","0,11"
"54919 - ABRACADEIRA NYLON 2,5X120MM",,39269090,"149160 FOXLUX 1 UN 0,00","0,36"
"53435 - ABRACADEIRA NYLON 2,5X140MM",,39269090,"37185 FOXLUX 1 UN 0,00","0,33"
"53436 - ABRACADEIRA NYLON 2,5X150MM",,39269090,"422657 FOXLUX 1 UN 0,00","0,12"
"54921 - ABRACADEIRA NYLON 2,5X80MM",,39269090,"149454 FOXLUX 1 UN 0,00","0,19"
"55453 - ABRACADEIRA NYLON 3,5X200MM",,39269090,"4201864 FOXLUX 1 UN -4,00","0,29"
Usuário CLAUDIO FILHO,,,1 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 2
5460 - ADAPTADOR PRETO INT.1X3/4,"39174090 JAPI 1 UN 139,00","2,24"
38172 - ADAPTADOR PRETO INT.3/4X1/2,"39174090 33964 JAPI 1 UN 17,00","0,86"
53562 - ADAPTADOR SDS PLUS MANDRIL 1/2,"84669340 833 NOVA DISTR 1 UN 1,00","9,63"
Usuário CLAUDIO FILHO,4 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 5
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
55962 - ADAPTADOR SOLDAVEL CURTO 110 X 4'',"39174090 AKROS 1 UN 0,00","2,08"
5550 - ADAPTADOR SOLDAVEL CURTO 20X1/2¿,"39174090 10523 KRONA 1 UN 587,00","0,59"
5568 - ADAPTADOR SOLDAVEL CURTO 25X3/4,"39174090 0331 FORTLEV 1 UN 451,00","1,27"
5541 - ADAPTADOR SOLDAVEL CURTO 32X1,"39174090 0332 KRONA 1 UN -18,00","3,87"
5533 - ADAPTADOR SOLDAVEL CURTO 40X1.1/4,"39174090 0333 PLASTUBOS 1 UN 20,00","8,26"
5525 - ADAPTADOR SOLDAVEL CURTO 50X1.1/2,"39174090 402965 KRONA 1 UN 73,00","6,39"
5517 - ADAPTADOR SOLDAVEL CURTO 60X2,"39174090 0337 KRONA 1 UN 23,00","10,41"
53560 - ADAPTADOR SOLDAVEL CURTO,"39174090 AKROS 1 UN -1,00","6,65"
75X2.1/2¿,,
55963 - ADAPTADOR SOLDAVEL CURTO 85 X 3'',"39174090 AKROS 1 UN 0,00","2,60"
56022 - ADAPTDOR SOLD. FRANGE  85 X 3,"85444200 ARMARINHO 1 UN 0,00","2,00"
56562 - ADESIVO EPOXI TIX 1KG PASTOSO,"35069120 35892 NOVA CASA 1 UN 5,00","68,77"
BAUTECH C/001 UN,,
54204 - ADITIVO PLASTIFICANTE 18L,"38244000 30072.02.30.008 QUARTZOLIT 1 UN 6,00","271,28"
54205 - ADITIVO PLASTIFICANTE 1L,"38244000 18233 QUARTZOLIT 1 UN 12,00","16,91"
"54206 - ADITIVO PLASTIFICANTE 3,6L","38244000 30380.03.30.008 QUARTZOLIT 1 UN 0,00","73,25"
55778 - ADITIVO SECANTE ESMALTE SINTETICO,"38159099 30950 ANJO 1 UN 12,00","35,06"
1,,
56418 - ADITIVO SIKA 1LT,"38244000 24424 NOVA CASA 1 UN 13,00","18,41"
"56419 - ADITIVO SIKA 3,6LT","38244000 14028 NOVA CASA 1 UN 1,00","50,97"
53898 - AFIADOR FACA CHAIRA 12¿ - MUNDIAL,"82055100 051267 TAMBASA AT 1 UN 3,00","106,78"
56081 - AGUA RAZ EUCATEX 900ML,"27101230 31730 EUCATEX 1 UN 34,00","23,35"
55297 - AGUARRAS 5000ML ITAQUA/COLORMAX,"27101230 45743 NEGRAO 1 UN 10,00","108,84"
55507 - AGUARRAS 5000ML JACARE,"27101230 45860 NEGRAO 1 UN 4,00","111,27"
55597 - AGUARRAS 5L EUCATEX,"27101230 053116 ARMARINHO 1 UN 14,00","123,48"
55296 - AGUARRAS 900ML ITAQUA,"27101919 37898 NEGRAO 1 UN 35,00","24,80"
55508 - AGUARRAS 900ML JACARE,"27101230 45859 NEGRAO 1 UN 21,00","18,52"
9237 - AGUARRAS ANJO 900ML,"27101230 43053 MARTINS 1 UN 15,00","26,79"
"2232 - ALAVANCA 1,80 MTS","82055900 2000.423.018 NOVA DISTR 1 UN 11,00","173,19"
2224 - ALAVANCA 1.50 MTS,"82055900 24041 NOVA DISTR 1 UN 4,00","143,04"
54236 - ALAVANCA 1.80CM SEXTAVADA,"82055900 100680 PARABONI 1 UN 2,00","409,58"
"51670 - ALAVANCA 2,00MTS","82055900 5119 NOVA DISTR 1 UN 0,00","207,69"
34991 - ALAVANCA C/PA 1.80MT,"82051000 0000009 AFG METALU 1 UN 5,00","151,19"
56444 - ALAVANCA G PARA TORNEIRAS  - ALV G,"84819090 ALV G E ICO METAL 1 UN 3,00","58,12"
E,,
55435 - ALCA P/TAMBOR DE LEITE,"39235000 93529 ARMARINHO 1 PR 4,00","21,59"
55161 - ALCOOL LIQUIDO 70 5L CLEANNER,"22072019 027866 ARMARINHO 1 GL 1,00","92,05"
51199 - ALGARISMO EM ZAMAK NIQUELADO N0,"83100000 95684 SILVANA 1 UN 2,00","14,16"
51200 - ALGARISMO EM ZAMAK NIQUELADO N1,"83100000 95691 SILVANA 1 UN -5,00","14,16"
51201 - ALGARISMO EM ZAMAK NIQUELADO N2,"83100000 95707 SILVANA 1 UN 2,00","14,16"
51202 - ALGARISMO EM ZAMAK NIQUELADO N3,"83100000 95714 SILVANA 1 UN 10,00","14,16"
51203 - ALGARISMO EM ZAMAK NIQUELADO N4,"83100000 95721 SILVANA 1 UN 2,00","14,16"
51204 - ALGARISMO EM ZAMAK NIQUELADO N5,"83100000 95738 SILVANA 1 UN 8,00","14,16"
51205 - ALGARISMO EM ZAMAK NIQUELADO N6,"83100000 95745 SILVANA 1 UN 16,00","14,16"
51206 - ALGARISMO EM ZAMAK NIQUELADO N7,"83100000 95752 SILVANA 1 UN 1,00","14,16"
51207 - ALGARISMO EM ZAMAK NIQUELADO N8,"83100000 95769 SILVANA 1 UN 15,00","14,16"
51208 - ALGARISMO EM ZAMAK NIQUELADO N9,"83100000 95776 SILVANA 1 UN 16,00","14,16"
25984 - ALGARISMO EM ZAMAK OXIDADO N1,"83100000 95592 SILVANA 1 UN -9,00","12,41"
25992 - ALGARISMO EM ZAMAK OXIDADO N2,"83100000 95608 SILVANA 1 UN 5,00","12,41"
26000 - ALGARISMO EM ZAMAK OXIDADO N3,"83100000 95615 SILVANA 1 UN 10,00","12,41"
26018 - ALGARISMO EM ZAMAK OXIDADO N4,"83100000 95722 SILVANA 1 UN 16,00","12,41"
Usuário CLAUDIO FILHO,5 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 6
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
26026 - ALGARISMO EM ZAMAK OXIDADO N5,"83100000 95660 SILVANA 1 UN 5,00","12,41"
26034 - ALGARISMO EM ZAMAK OXIDADO N6,"83100000 95646 SILVANA 1 UN 1,00","12,41"
26042 - ALGARISMO EM ZAMAK OXIDADO N7,"83100000 95653 SILVANA 1 UN 5,00","12,41"
26050 - ALGARISMO EM ZAMAK OXIDADO N8,"83100000 8888 SILVANA 1 UN 16,00","12,41"
26069 - ALGARISMO EM ZAMAK OXIDADO N9,"83100000 95677 SILVANA 1 UN 9,00","12,41"
31330 - ALGARISMO EM ZAMAX OXIDADO N0,"83100000 0000 SILVANA 1 UN 16,00","12,41"
38199 - ALGARISMO VIDRO 0 A 9,"83100000 CENTER MAT 1 UN -86,00","10,04"
27952 - ALICATE AMPERIMETRO DIGITAL ET3200,"69089000 MINIPA 1 UN 2,00","230,92"
51336 - ALICATE AMPERIMETRO DIGITAL,"90303100 MD-E3 FOXLUX 1 UN 15,00","89,87"
FOXLUX,,
48674 - ALICATE BICO MEIA CANA 6¿,"82032010 55003 TRAMONTINA 1 UN -1,00","23,01"
9130 - ALICATE BICO MEIA CANA 6¿,"82032010 41052 MAYLE 1 UN 7,00","45,93"
54987 - ALICATE BICO RETO 6¿ W-MAX,"82032010 071401 651 WURTH 1 UN 2,00","53,11"
50832 - ALICATE BOMBA D AGUA - FOXLUX,"82032010 090071 ORMEL 1 UN 5,00","55,64"
55803 - ALICATE BOMBA DAGUA 12,"82032010 1864039 IRWIN 1 UN 0,00","93,83"
52860 - ALICATE CORTE 6.1/2 8314-160,"82032010 8314 GEDORE 1 UN -1,00","102,96"
55945 - ALICATE CORTE DIAGONAL 6 - IRWIN,"82032010 1864036 IRWIN 1 UN 3,00","80,07"
9121 - ALICATE CORTE DIAGONAL 6 - WORKER,"82032010 055002 NEGRAO 1 UN 5,00","35,49"
54986 - ALICATE CORTE DIAGONAL 6¿ FLEX,"82032010 8926 LOTUS 1 UN 2,00","27,35"
51743 - ALICATE CRIMPADOR COAXIAL FOXLUX,"82032010 506351 MARTINS 1 UN 0,00","95,70"
54745 - ALICATE CRIMPADOR RJ-45 N8 REDE,"82032010 506352 MARTINS 1 UN 9,00","54,48"
2275 - ALICATE DE BICO CHATO 6¿,"82032010 1864035 IRWIN 1 UN 7,00","67,54"
45683 - ALICATE DE BICO CHATO 6¿,"73182200 TRAMONTINA 1 UN 0,00","11,31"
54791 - ALICATE DE BICO RETO 6'' FLEX,"82032010 8927 LOTUS 1 UN 0,00","28,91"
52135 - ALICATE DE CORT DIAG 6.1/2 8314-16,"82032010 192561 GEDORE 1 UN 15,00","54,01"
30198 - ALICATE DECAPADOR FIOS -,"82032010 23477 NOVA DISTR 1 UN 2,00","38,03"
FOX/BRASF,,
52695 - ALICATE DESENCAP. FIOS AUTOMAT 8,"82032010 44051/108 TRAMONTINA 1 UN -1,00","174,52"
28177 - ALICATE ELETRICISTA CORTA FIO 6¿,"82032010 2078316 IRWIN 1 UN 1,00","108,51"
54269 - ALICATE EMENDAR ARAME LISO,"82033000 015806 METALURGIC 1 UN 9,00","19,56"
55863 - ALICATE FAZENDEIRO 10''  PLUS,"82032010 3769 LOTUS 1 UN 4,00","77,15"
56464 - ALICATE HIDRAULICO PRENSA/CRIMPA,"82032010 335,0003 NEGRAO 1 UN 1,00","741,60"
TERMINAIS,,
37150 - ALICATE NIVELAMENTO PISO,"82032010 903698 CORTAG 1 UN 4,00","69,66"
52432 - ALICATE NIVELAMENTO REVEST.,"82032010 60695 CORTAG 1 UN 0,00","62,78"
52433 - ALICATE NIVELAMENTO REVEST.,"82032010 60969 CORTAG 1 UN 1,00","94,66"
PAREDE,,
50890 - ALICATE PRESSAO GEDORE 10¿,"82032010 055280 GEDORE 1 UN 1,00","76,52"
44970 - ALICATE PRESSAO IRWIN 10¿,"82032010 1809681 IRWIN 1 UN 2,00","103,71"
9156 - ALICATE PRESSAO MAYLE 10¿,"82032010 055004 TAMBASA AT 1 UN -1,00","60,47"
39217 - ALICATE REBITADOR AR1 - FOXLUX,"82032010 41.01 FOXLUX 1 UN 11,00","49,17"
50899 - ALICATE REBITADOR MANUAL 10,"82055900 41020110 TRAMONTINA 1 UN 4,00","103,51"
51924 - ALICATE REBITADOR MANUAL IRWIN,"82055900 1886980 IRWIN 1 UN 4,00","60,45"
51919 - ALICATE REBITADOR MANUAL IRWIN,"82055900 1887143 IRWIN 1 UN 0,00","91,46"
R450,,
24449 - ALICATE REBITADOR MANUAL WORKER,"82032010 NEGRAO 1 UN 0,00","129,06"
10,,
49204 - ALICATE REBITADOR PROFISSIONAL,"82033000 BERG 1 UN 0,00","106,92"
20290 - ALICATE TRAV ANEL CURVO 7¿- THOM,"82032010 72562 TAMBASA AT 1 UN 0,00","26,57"
52826 - ALICATE TRAVADOR 7¿,"82032010 488887 NEGRAO 1 UN 2,00","55,39"
54789 - ALICATE UNIVERSAL 8  VISE-GRIP,"82032010 1864060 IRWIN 1 UN 10,00","70,69"
55864 - ALICATE UNIVERSAL 8 - SATA,"82032010 5140 LOTUS 1 UN 13,00","79,17"
Usuário CLAUDIO FILHO,6 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 7
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
51248 - ALICATE UNIVERSAL 8¿ FLEX,"82032010 8925 LOTUS 1 UN 4,00","36,06"
23434 - ALICATE UNIVERSAL 8¿ W-MAX,"82032010 071401 971 WURTH 1 UN -1,00","77,27"
2666 - ALICATE UNIVERSAL 8¿MAYLE,"82032010 5054.010.008 NEGRAO 1 UN 6,00","44,56"
56102 - ALICATE UNIVERSAL PRO 8 - SATA,"82032010 47656 NEGRAO 1 UN -2,00","99,59"
51259 - ALICATE UNIVERSAL REF.8280-,"82032010 055281 GEDORE 1 UN 0,00","78,01"
8¿GEDORE,,
25399 - ALIZAR P/PORTA TIMBAUBA JOGO 6P,"39252000 ADAO 1 JG 0,00","135,00"
53272 - ALONGADOR TORN 1/2¿ - HIDROPAL,"84818019 26766 TAMBASA AT 1 UN -5,00","11,73"
42935 - ALONGADOR TORNEIRA 45MM,"84819090 202 45 ICO METAL 1 UN 1,00","30,65"
35475 - ALONGADOR TORNEIRA 60MM,"84818019 202 60 ICO METAL 1 UN 0,00","31,30"
54783 - AMACIANTE MON.BIJOU P.F.PUREZA,"38099190 1702005 MARTINS 1 UN 8,00","27,30"
55025 - AMASSADOR LATAS ALUM.350ML OURO,"73269090 079382 ARMARINHO 1 UN 1,00","100,53"
MG,,
27839 - AMPERIMETRO DIGITAL - THOMPSON,"90303329 503428 MARTINS 1 UN 4,00","80,05"
55054 - ANCINHO 14D PRATIK,"82013000 506251 MARTINS 1 UN 4,00","56,91"
55514 - ANCINHO COM CABO 12 DENTES,"82013000 F81.01 NEGRAO 1 UN -6,00","30,13"
7730 - ANCINHO CURVO LEVE 12D S/CABO,"82013000 32164 TRAMONTINA 1 UN 2,00","17,22"
53145 - ANCINHO CURVO LEVE 14D C/CABO,"82013000 77101644 TRAMONTINA 1 UN -3,00","60,51"
145CM,,
28037 - ANCINHO CURVO LEVE 14D S/CABO,"82013000 4525 TRAMONTINA 1 UN 9,00","38,72"
"54416 - ANEL 15,6MM X 1,8MM","40169300 100807-450 BLUKIT 1 UN 83,00","1,15"
"54417 - ANEL 19,0MM X 2,3MM","40169300 100808-450 BLUKIT 1 UN 80,00","1,77"
54032 - ANEL BORR. PBA DN 100 DE 110,"40169300 37041033 TIGRE 1 UN -18,00","13,34"
54031 - ANEL BORR. PBA DN 50 DE 60,"40169300 0571000053 CORRPLASTI 1 UN -5,00","1,60"
52926 - ANEL BORR.PBA DN 75MM,"40169300 37663310 CORRPLASTI 1 UN 1.000,00","32,03"
52923 - ANEL BORRACHA PBA 50MM,"40169300 023162 KRONA 1 SC 147,00","2,28"
52924 - ANEL BORRACHA PBA 60MM,"40169300 37040754 TIGRE 1 UN 0,00","6,73"
52925 - ANEL BORRACHA PBA 85MM,"40169300 340203 413 TIGRE 1 UN 0,00","3,16"
54941 - ANEL DE VEDACAO COM GUIA VEDAH,"40069000 071418 ARMARINHO 1 UN -34,00","11,51"
56498 - ANEL DE VEDACAO SMART P/ VASO,"40069000 340108-412 BLUKIT 1 UN 9,00","16,33"
51547 - ANEL JE DEFOFO DN 100MM,"40169300 0571000030 CORRPLASTI 1 UN 123,00","2,98"
52379 - ANEL JE DEFOFO DN 150MM,"40169300 0571000032 CORRPLASTI 1 UN 106,00","5,75"
51549 - ANEL JE DEFOFO DN 200MM,"40169300 0571000033 CORRPLASTI 1 UN 22,00","11,49"
53558 - ANEL JE DEFOFO DN 250MM,"40169300 0571000033 CORRPLASTI 1 UN 0,00","7,08"
53559 - ANEL JE DEFOFO DN 300MM,"40169300 0571000035 CORRPLASTI 1 UN 6,00","17,21"
55062 - ANEL PBA DN10,"40169300 000000000000092 AMANCO 1 UN 200,00","12,58"
53553 - ANEL VEDACAO C/GUIADOR,"40069000 22406 BLUKIT 1 UN 295,00","8,93"
55370 - ANEL VEDACAO DE BORRACHA BUT,"40169300 PR7447 ATLAS 1 UN 0,00","16,07"
C/GUIA,,
51989 - ANEL VEDACAO ESGOTO DN150MM,"40169300 CORRPLASTI 1 UN 128,00","6,38"
54210 - ANEL VEDACAO UNIV. SAIDA CAIXA,"40169300 41351 BLUKIT 1 UN -162,00","14,21"
ACOP,,
51000 - ANEL VEDACAO VASO,"96020090 07826 TAMBASA AT 1 UN -6,00","6,68"
51663 - ANTI LUB SPRAY 300ML - PROTEG,"38249941 35935 ALMEIDA 1 UN -3,00","12,02"
55438 - ANTI LUB SPRAY 300ML - REFOC LUB,"38249941 43316 NEGRAO 1 UN 1,00","11,75"
13080 - ANTI LUB SPRAY 300ML - WHITE LUB,"38249941 6760 ALMEIDA 1 UN 49,00","23,26"
54990 - ANTI LUB SPRAY FAST 300ML,"38249941 2100524 MARTINS 1 UN 13,00","13,94"
54505 - APAR.BARBA WAHL GR.RECAR.BIV,"85101000 2206175 MARTINS 1 UN 1,00","185,39"
55055 - APAR.GILLETTE MACH3,"82121020 205758 MARTINS 1 UN 1,00","30,33"
51046 - APARADOR DE GRAMA 127V AP1000,"84672999 79634102 TRAMONTINA 1 UN 1,00","301,57"
54234 - APARADOR DE GRAMA 127V AP1500,"84672999 79634152 TRAMONTINA 1 UN 0,00","325,06"
51045 - APARADOR DE GRAMA 220V AP1000,"84672999 79634103 TRAMONTINA 1 UN 0,00","301,15"
Usuário CLAUDIO FILHO,7 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 8
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
54233 - APARADOR DE GRAMA 220V AP1500T,"84672999 79634153 TRAMONTINA 1 UN 0,00","361,18"
50032 - APARADOR DE GRAMA 700WX220V,"84672999 TRAMONTINA 1 UN 1,00","200,32"
AP700,,
55364 - APARADOR GRAMA 1000W 110V TRAPP,"84672999 062478 TAMBASA AT 1 UN 1,00","432,51"
55365 - APARADOR GRAMA 1000W 220V TRAPP,"84672999 062479 TAMBASA AT 1 UN 1,00","432,51"
53611 - APLICADOR FLEXIVEL W3/16 OB 150CM,"73182200 HIDROGERAI 1 UN 0,00","1.200,71"
53610 - APLICADOR FLEXIVEL W3/16 OB 90CM,"73182200 HIDROGERAI 1 UN 0,00","800,48"
55433 - ARAME FARPADO 250M NELORE,"73130000 603240 MARTINS 1 RL -1,00","393,92"
33693 - ARAME FARPADO 500M NELORE,"73130000 603260 MARTINS 1 RL 0,00","710,77"
55585 - ARAME FARPADO 500MT GERDAU,"73130000 6987 NEGRAO 1 RL 1,00","605,95"
26603 - ARAME GALVANIZADI BWG 20,"72172090 414750 MARTINS 1 UN 20,00","24,13"
48518 - ARAME GALVANIZADO BWG 12,"72172090 414320 BELGO 1 KL -7,00","33,70"
7722 - ARAME GALVANIZADO BWG 14,"72172090 14979 NOVA DISTR 1 KG 9,00","31,56"
40746 - ARAME GALVANIZADO BWG 16,"72172090 472210 NOVA DISTR 1 UN 3,00","24,59"
7706 - ARAME GALVANIZADO BWG 18,"72172090 2000.397.001 MARTINS 1 UN 1,00","30,05"
50750 - ARAME GALVANIZADO BWG 22,"72172090 490420 TAMBASA AT 1 EE -5,00","52,12"
55346 - ARAME OVALADO 17X15 1000MT,"72172090 605440 NEGRAO 1 RL 9,00","948,53"
205 - ARAME RECOZIDO KG BWG 18,"72171090 224 BELGO 1 KG -24,00","26,76"
"51482 - ARAME RECOZIDO TRANC. 1,25M 1KG","72171090 7072 NOVA DISTR 1 KG -1.059,00","24,98"
52721 - ARAME SOLDA TUBETE 4MT,"80012000 017247 TAMBASA AT 1 UN 49,00","11,98"
52700 - ARANDELA ALUMINIO 30CM - ENERLUX,"94051093 067698 TAMBASA AT 1 UN 3,00","47,83"
53415 - ARANDELA ALUMINIO 30CM - SCORPIUS,"94054090 96482 TAMBASA AT 1 UN 0,00","42,10"
51124 - ARANDELA ALUMINIO E27 100W PHILIPS,"94051099 375195 NEGRAO 1 UN 0,00","133,61"
52270 - ARANDELA BRANCA SOQ. E/27,"94051093 SZ 2125 AMERICA 1 UN 0,00","121,08"
QUADRADA,,
55889 - ARANDELA LED 4W - VANY,"94051190 L02578 VANY 1 UN 2,00","66,37"
16357 - ARANDELA LED 8W BIVOLT SOBREPOR,"94051099 F420036_I ECP 1 UN 2,00","98,16"
12033 - ARCO DE PUA C/CATRACA,"82051000 090129 ARMARINHO 1 UN 1,00","110,40"
12025 - ARCO DE PUA S/CATRACA,"82051000 IW1697 IRWIN 1 UN 0,00","145,56"
50563 - ARCO DE SERRA 140,"82021000 500605 STARRET 1 UN -10,00","54,36"
54733 - ARCO SERRA 12¿,"82021000 500468 TRAMONTINA 1 UN -3,00","29,19"
7684 - ARCO SERRA C/LAMINA 12¿,"82021000 K140 STARRET 1 UN 62,00","67,06"
51925 - ARCO SERRA STD IRWIN,"82021000 1861511 IRWIN 1 UN 5,00","65,36"
29440 - AREIA GROSSA (METRO),"25059000 3H COMERCI 1 MT -82,50","194,58"
49425 - AREIA MEDIA LAVADA,"25309020 CLAUDIO MU 1 MT -136,50","194,58"
29416 - AREIA P/ MURO (SAIBRO),"25059000 3H COMERCI 1 UN -33,00","194,58"
52000 - ARGAMASSA HIPERMASSA 20KG AC-1,"32149000 0001.00001.09 HIPERMASSA 1 SC 119,00","19,32"
11568 - ARGAMASSA QUARTZOLIT 20KG AC-I,"32149000 0001.00001.0020 QUARTZOLIT 1 SC 621,00","24,37"
50883 - ARGAMASSA QUARTZOLIT 20KG AC-II,"32149000 0003.00001.0020 QUARTZOLIT 1 SC 94,00","57,68"
54153 - ARGAMASSA QUARTZOLIT 20KG AC-III,"32149000 0069.00001.0020 QUARTZOLIT 1 SC 56,00","72,53"
52522 - ARGAMASSA QUARTZOLIT BANHEIRO,"32149000 0118.00001.0020 QUARTZOLIT 1 SC 105,00","34,66"
20KG,,
51455 - ARGAMASSA QUARTZOLIT PASTILHA,"32149000 0284.00000.0030 QUARTZOLIT 1 KG 27,00","18,98"
5KL,,
40770 - ARGAMASSA QUARTZOLIT PISO/PISO,"32149000 0100.00001.0020 QUARTZOLIT 1 SC 168,00","68,95"
20K,,
